,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
479,San Juan,69.08,41,0,4.83,-31.54,-68.54
480,Swan Hill,62.6,47,100,11.27,-35.34,143.55
481,Oruzgan,60.84,19,100,11.95,32.83,66.0
482,Vera Cruz,71.6,88,90,6.93,-12.63,-41.03
483,Baruun-Urt,34.59,49,96,11.41,46.68,113.28
484,Sindor,36.0,95,100,3.74,62.86,51.89
485,Sibolga,80.98,77,97,1.61,1.74,98.78
486,Kyshtovka,61.18,59,100,5.61,56.55,76.63
487,Mareeba,75.24,94,42,1.23,-17.0,145.43
488,La Palma,55.24,71,75,4.12,33.85,-118.05
489,Gazli,81.95,14,0,12.21,40.13,63.45
490,Leningradskiy,3.24,88,72,7.0,69.38,178.42
491,Nador,64.4,77,75,18.34,35.17,-2.93
492,Ārvi,101.5,14,79,11.79,20.98,78.23
493,Lahaina,65.28,88,1,4.7,20.88,-156.68
494,Port Keats,84.7,73,62,6.04,-14.25,129.55
495,San Patricio,66.2,93,5,5.82,19.22,-104.7
496,Taoudenni,87.33,35,41,13.96,22.68,-3.98
497,Butterworth,84.96,83,20,2.24,5.4,100.36
498,Assiut,84.2,37,0,14.99,27.18,31.18
499,Dondo,86.0,51,20,18.34,-19.61,34.74
500,Reitz,73.71,19,1,6.64,-27.8,28.43
501,Shahrud,66.63,21,29,4.7,36.42,54.98
502,Port Augusta,72.82,27,40,18.34,-32.5,137.77
503,Waingapu,80.11,77,86,3.76,-9.66,120.26
504,Khovd,45.57,27,0,6.67,48.01,91.64
505,Hay River,32.0,95,90,3.36,60.82,-115.8
506,Worland,36.93,80,75,1.74,44.02,-107.96
507,Cochabamba,53.6,71,12,0.98,-17.39,-66.16
508,Fortuna,47.97,100,90,2.59,40.6,-124.16
509,Lexington,41.27,80,1,6.93,37.99,-84.48
510,Aracaju,78.8,88,75,9.17,-10.91,-37.07
511,Sakaiminato,55.4,87,90,17.22,35.55,133.23
512,Amrāvati,101.52,14,75,9.55,20.93,77.75
513,Tazovsky,37.13,98,100,15.86,67.47,78.7
514,Marsala,71.19,50,34,17.22,37.8,12.44
515,Qasigiannguit,26.6,63,73,5.82,68.82,-51.19
516,Charyshskoye,60.08,38,10,4.56,51.4,83.56
517,Diffa,105.75,6,62,16.64,13.32,12.61
518,Ukiah,49.44,71,90,1.52,39.15,-123.21
519,Requena,60.01,90,63,5.53,39.49,-1.1
520,Asău,62.8,29,20,4.7,46.43,26.4
521,Sydney,58.87,82,20,4.7,-33.87,151.21
522,Ocampo,57.33,30,19,5.75,21.65,-101.5
523,San Onofre,79.39,82,100,2.48,9.74,-75.53
524,Rassvet,60.55,32,99,4.76,46.83,40.75
525,Nelson Bay,56.55,93,2,4.7,-32.72,152.15
526,Cherëmukhovo,45.1,53,71,9.33,60.35,59.99
527,Tsiroanomandidy,82.33,37,2,3.47,-18.77,46.03
528,Middelburg,75.47,20,11,9.73,-25.78,29.46
529,Dustlik,77.65,21,0,4.99,40.52,68.04
530,Lalín,61.56,77,40,4.7,42.72,-8.12
531,Asilah,66.2,68,40,18.34,35.47,-6.03
532,Lüderitz,75.2,50,0,6.93,-26.65,15.16
533,Gurupá,80.24,83,79,1.83,-1.41,-51.64
534,Dabakala,92.16,48,77,7.83,8.37,-4.43
535,Zyryanovsk,50.81,46,1,2.59,49.74,84.27
536,Yazoo City,65.82,100,90,5.01,32.86,-90.41
537,Meulaboh,82.17,78,88,2.62,4.14,96.13
538,Coahuayana Viejo,73.47,66,23,1.41,18.73,-103.68
539,Boyolangu,79.74,83,88,3.06,-8.12,111.89
540,Pavlodar,75.2,17,94,2.24,52.3,76.95
541,Naze,71.6,94,75,9.17,28.37,129.48
542,Eydhafushi,85.96,74,61,11.27,5.1,73.07
543,Kaka,78.04,21,6,6.85,37.35,59.61
544,Marystown,32.11,97,100,33.02,47.17,-55.15
545,Brae,52.43,58,0,11.41,60.4,-1.35
546,Qaqortoq,26.6,68,54,9.17,60.72,-46.03
547,Heiligenhafen,53.24,34,0,13.87,54.37,10.98
548,Belp,68.5,52,99,8.05,46.89,7.5
549,Pontianak,82.4,74,40,4.7,-0.03,109.33
550,San Ignacio,74.61,94,5,2.28,17.16,-89.07
551,Glace Bay,31.37,98,90,33.33,46.2,-59.96
552,São Filipe,72.64,69,24,17.02,14.9,-24.5
553,Lavrentiya,14.29,93,100,6.91,65.58,-171.0
